hrap_id,hrapx,hrapy,county,max_win_pt,return_period
556_200,556,200,San Saba,0.23,1.0
410_192,410,192,Culberson,0.0,0.0
479_283,479,283,Hale,0.1,1.0
629_217,629,217,Houston,0.3,1.0
558_207,558,207,Mills,0.23,1.0
487_201,487,201,Reagan,0.02,1.0
416_198,416,198,Culberson,0.0,0.0
565_122,565,122,McMullen,0.15,1.0
574_69,574,69,Starr,0.02,1.0
566_112,566,112,McMullen,0.04,1.0
604_117,604,117,Refugio,0.05,1.0
637_165,637,165,Fort Bend,0.81,1.0
601_160,601,160,Lavaca,0.25,1.0
564_155,564,155,Bexar,0.27,1.0
527_152,527,152,Uvalde,0.06,1.0
453_147,453,147,Brewster,0.0,0.0
413_188,413,188,Culberson,0.0,0.0
449_189,449,189,Pecos,0.0,0.0
485_191,485,191,Crockett,0.0,0.0
521_193,521,193,Menard,0.11,1.0
556_197,556,197,San Saba,0.19,1.0
592_201,592,201,Bell,0.35,1.0
627_207,627,207,Madison,0.28,1.0
663_213,663,213,Tyler,0.35,1.0
658_254,658,254,Harrison,0.68,1.0
623_248,623,248,Van Zandt,0.4,1.0
589_243,589,243,Johnson,0.1,1.0
554_239,554,239,Eastland,0.09,1.0
520_235,520,235,Taylor,0.04,1.0
485_232,485,232,Howard,0.07,1.0
450_231,450,231,Andrews,0.02,1.0
446_272,446,272,Bailey,0.08,1.0
480_273,480,273,Hale,0.04,1.0
514_276,514,276,Cottle,0.08,1.0
547_279,547,279,Wichita,0.1,1.0
480_314,480,314,Carson,0.0,0.0
447_312,447,312,Oldham,0.1,1.0
451_343,451,343,Dallam,0.0,0.0
510_347,510,347,Lipscomb,0.0,0.0
509_328,509,328,Hemphill,0.03,1.0
494_327,494,327,Roberts,0.0,0.0
479_326,479,326,Hutchinson,0.08,1.0
464_325,464,325,Moore,0.0,0.0
449_325,449,325,Hartley,0.01,1.0
452_306,452,306,Deaf Smith,0.03,1.0
468_307,468,307,Randall,0.03,1.0
483_308,483,308,Armstrong,0.03,1.0
498_309,498,309,Donley,0.0,0.0
513_310,513,310,Collingsworth,0.01,1.0
512_291,512,291,Childress,0.07,1.0
497_290,497,290,Hall,0.08,1.0
481_289,481,289,Swisher,0.03,1.0
466_288,466,288,Castro,0.02,1.0
451_288,451,288,Parmer,0.07,1.0
454_269,454,269,Cochran,0.02,1.0
470_270,470,270,Lubbock,0.04,1.0
485_270,485,270,Crosby,0.08,1.0
501_272,501,272,Dickens,0.17,1.0
516_273,516,273,King,0.07,1.0
532_274,532,274,Baylor,0.17,1.0
548_276,548,276,Archer,0.07,1.0
563_278,563,278,Clay,0.1,1.0
579_280,579,280,Cooke,0.09,1.0
594_282,594,282,Grayson,0.06,1.0
610_284,610,284,Fannin,0.1,1.0
625_287,625,287,Red River,0.16,1.0
657_273,657,273,Cass,0.34,1.0
641_271,641,271,Morris,0.28,1.0
626_268,626,268,Hopkins,0.29,1.0
610_265,610,265,Hunt,0.16,1.0
594_263,594,263,Collin,0.11,1.0
578_261,578,261,Wise,0.1,1.0
563_259,563,259,Jack,0.09,1.0
547_257,547,257,Young,0.13,1.0
531_255,531,255,Throckmorton,0.08,1.0
515_254,515,254,Stonewall,0.11,1.0
500_253,500,253,Kent,0.06,1.0
484_251,484,251,Garza,0.06,1.0
468_251,468,251,Terry,0.03,1.0
452_250,452,250,Yoakum,0.02,1.0
455_231,455,231,Andrews,0.0,0.0
472_232,472,232,Martin,0.1,1.0
488_233,488,233,Howard,0.07,1.0
504_234,504,234,Mitchell,0.05,1.0
536_237,536,237,Callahan,0.18,1.0
552_238,552,238,Eastland,0.09,1.0
568_240,568,240,Hood,0.1,1.0
584_242,584,242,Johnson,0.1,1.0
600_244,600,244,Ellis,0.2,1.0
616_247,616,247,Van Zandt,0.29,1.0
631_249,631,249,Smith,0.5,1.0
647_252,647,252,Harrison,0.55,1.0
664_236,664,236,Shelby,0.56,1.0
648_233,648,233,Nacogdoches,0.35,1.0
632_230,632,230,Anderson,0.39,1.0
616_228,616,228,Freestone,0.31,1.0
600_225,600,225,Limestone,0.29,1.0
584_223,584,223,Bosque,0.19,1.0
567_221,567,221,Hamilton,0.14,1.0
551_219,551,219,Brown,0.12,1.0
535_217,535,217,Coleman,0.07,1.0
519_216,519,216,Runnels,0.04,1.0
502_214,502,214,Coke,0.02,1.0
486_213,486,213,Glasscock,0.02,1.0
470_212,470,212,Midland,0.01,1.0
453_212,453,212,Winkler,0.0,0.0
437_211,437,211,Loving,0.0,0.0
421_211,421,211,Culberson,0.0,0.0
405_211,405,211,Culberson,0.0,0.0
388_211,388,211,Hudspeth,0.0,0.0
372_211,372,211,El Paso,0.0,0.0
391_192,391,192,Hudspeth,0.0,0.0
407_191,407,191,Culberson,0.0,0.0
424_192,424,192,Reeves,0.0,0.0
440_192,440,192,Reeves,0.0,0.0
457_193,457,193,Pecos,0.0,0.0
474_193,474,193,Upton,0.0,0.0
490_194,490,194,Reagan,0.01,1.0
507_195,507,195,Tom Green,0.01,1.0
523_197,523,197,Concho,0.07,1.0
540_198,540,198,McCulloch,0.2,1.0
572_202,572,202,Lampasas,0.12,1.0
589_204,589,204,Bell,0.46,1.0
605_206,605,206,Robertson,0.48,1.0
622_209,622,209,Leon,0.42,1.0
638_212,638,212,Trinity,0.56,1.0
654_215,654,215,Angelina,0.74,1.0
670_218,670,218,Jasper,1.58,1.0
671_198,671,198,Jasper,0.16,1.0
655_195,655,195,Liberty,0.66,1.0
638_192,638,192,Montgomery,0.54,1.0
622_189,622,189,Brazos,0.08,1.0
605_187,605,187,Burleson,0.51,1.0
589_185,589,185,Williamson,0.83,1.0
572_182,572,182,Travis,0.3,1.0
555_181,555,181,Gillespie,0.11,1.0
539_179,539,179,Kimble,0.13,1.0
522_177,522,177,Sutton,0.11,1.0
505_176,505,176,Sutton,0.01,1.0
488_175,488,175,Crockett,0.0,0.0
472_174,472,174,Terrell,0.0,0.0
455_173,455,173,Pecos,0.0,0.0
438_173,438,173,Brewster,0.0,0.0
421_172,421,172,Presidio,0.0,0.0
405_172,405,172,Presidio,0.0,0.0
425_153,425,153,Presidio,0.0,0.0
442_153,442,153,Brewster,0.0,0.0
459_154,459,154,Brewster,0.0,0.0
492_155,492,155,Val Verde,0.0,0.0
509_157,509,157,Val Verde,0.03,1.0
526_158,526,158,Real,0.03,1.0
543_160,543,160,Bandera,0.18,1.0
560_161,560,161,Kendall,0.26,1.0
577_163,577,163,Hays,0.35,1.0
594_166,594,166,Caldwell,0.21,1.0
611_168,611,168,Colorado,0.29,1.0
628_170,628,170,Waller,0.78,1.0
644_173,644,173,Harris,2.15,2.64705882353
661_176,661,176,Chambers,0.23,1.0
678_179,678,179,Jefferson,0.03,1.0
645_153,645,153,Brazoria,0.3,1.0
628_151,628,151,Wharton,0.26,1.0
611_148,611,148,Jackson,0.99,1.0
594_146,594,146,DeWitt,0.26,1.0
577_144,577,144,Wilson,0.11,1.0
560_142,560,142,Atascosa,0.21,1.0
542_140,542,140,Uvalde,0.0,0.0
